id,category,item_name_ko,item_name_en,example_en,start_grade_band,curriculum_version,source_id
GR-2015-001,,,,Kate is from London.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-002,,,,The store is closed.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-003,,,,A lion is brave.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-004,,,,"Which do you like better, this or that?",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-005,,,,"I don't like the black coat, but I like the brown one.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-006,,,,It’s cold outside.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-007,,,,He walks to school every day.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-008,,,,He is sleeping now.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-009,,,,The train has arrived.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-010,,,,The baby cried.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-011,,,,Is the room warm enough?,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-012,,,,She is as tall as her mother (is).,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-013,,,,Mary is taller than I/me.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-014,,,,Cindy is the shortest of the three.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-015,,,,I made him carry the box.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-016,,,,To see is to believe.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-017,,,,Mike is slow to react.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-018,,,,Playing baseball is fun.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-019,,,,John and Mary are good friends.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-020,,,,I am not tired.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-021,,,,Are you ready?,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-022,,,,"She said, “I will help you.”",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-023,,,,I don’t know where he lives.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-024,,,,"If oil is mixed with water, it floats.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-025,,,,"If Joe had time, he would go to Spain.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-026,,,,Can we sit down in here?,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-027,,,,"Andy plays the guitar, and his sister plays the piano.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-028,,,,"When we arrived, she was talking on the phone.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-029,,,,"The cell phone is thin and light. Therefore, it is very convenient to carry around.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-030,,,,The girl who is playing the piano is called Ann.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-031,,,,Something strange happened last night.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-032,,,,"Walking along the street, I met an old friend.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-033,,,,"Personally, I don’t like his paintings.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-034,,,,My brother was wearing a raincoat and (he) didn’t get wet.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-035,,,,Down came the rain.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-036,,,,There are two books on the desk.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-037,,,,"Won’t you try again? - Yes, I will try again.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-038,,,,It is important to protect our environment.,,2015,ncic_2015_eng_byeol14_hwp
GR-2015-039,,,,"Ms. Pova, a famous tennis player, will be visiting us at the gym tomorrow.",,2015,ncic_2015_eng_byeol14_hwp
GR-2015-040,,,,The novel was written by Mark Twain.,,2015,ncic_2015_eng_byeol14_hwp
